,incident,count,incident_name
350,supression: SC Vote Prevention,65286,supression:_SC_Vote_Prevention
351,supression: Spanish Language Supression at Polls,372,supression:_Spanish_Language_Supression_at_Polls
352,supression: TX immigrant mistreatment,25798,supression:_TX_immigrant_mistreatment
353,supression: TX national guard,239,supression:_TX_national_guard
354,supression: West Coast Fires,203,supression:_West_Coast_Fires
355,tech: 4chan oregon vote change,10934,tech:_4chan_oregon_vote_change
356,tech: antrim vote count,38018,tech:_antrim_vote_count
358,tech: Dr. Shiva MI Glitch,56995,tech:_Dr._Shiva_MI_Glitch
359,tech: ElectionGuard,312,tech:_ElectionGuard
360,tech: Feinstein/Pelosi Election Software,15853,tech:_Feinstein_Pelosi_Election_Software
361,tech: FL voter info leaked,1216,tech:_FL_voter_info_leaked
362,tech: Hammer and Scorecard,2954454,tech:_Hammer_and_Scorecard
363,tech: isabella vote jump,328,tech:_isabella_vote_jump
364,tech: Livestream of protests/riots,14,tech:_Livestream_of_protests_riots
365,tech: Ohio Voting Content,356,tech:_Ohio_Voting_Content
366,tech: Russia 2016 Hacking,7232,tech:_Russia_2016_Hacking
367,tech: Russian Malware ES&S/Diebold,7984,tech:_Russian_Malware_ES&S_Diebold
368,tech: Trump hack in 2016,18,tech:_Trump_hack_in_2016
369,tech: Zuckerberg Hacking WI,12154,tech:_Zuckerberg_Hacking_WI
370,USPS: 28 million missing ballots,2020,USPS:_28_million_missing_ballots
371,"USPS: 300,000 Undelivered Ballots",1136236,"USPS:_300,000_Undelivered_Ballots"
372,USPS: Fake Votes,1160,USPS:_Fake_Votes
373,USPS: FL 1.4 million missing ballots,224,USPS:_FL_1.4_million_missing_ballots
374,USPS: FL 23% rejected mail-in,254801,USPS:_FL_23%_rejected_mail-in
375,USPS: FL 80% missing Black and Latino votes,538,USPS:_FL_80%_missing_Black_and_Latino_votes
376,USPS: FL Mail Room,30210,USPS:_FL_Mail_Room
377,USPS: NJ worker dumps mail,5093,USPS:_NJ_worker_dumps_mail
378,USPS: NV Veritas,226972,USPS:_NV_Veritas
379,USPS: OH ripping trump ballots,817,USPS:_OH_ripping_trump_ballots
380,USPS: PA Long Wait,10358,USPS:_PA_Long_Wait
381,USPS: PA Mail Carrier Trash Ballot,15224,USPS:_PA_Mail_Carrier_Trash_Ballot
382,USPS: PA stop delivery whistleblower,72129,USPS:_PA_stop_delivery_whistleblower
383,USPS: Postal Workers Partisan,292,USPS:_Postal_Workers_Partisan
384,voting info: 12th Amendment,5253,voting_info:_12th_Amendment
385,voting info: abuse and public records,1617,voting_info:_abuse_and_public_records
386,voting info: ads say vote not counted,436,voting_info:_ads_say_vote_not_counted
387,voting info: anyone can votes as often as you wish,85,voting_info:_anyone_can_votes_as_often_as_you_wish
388,voting info: ballot box closed becuase of COVID,130,voting_info:_ballot_box_closed_becuase_of_COVID
389,voting info: ballot surredering,9915,voting_info:_ballot_surredering
390,voting info: CA fake voting center,2244,voting_info:_CA_fake_voting_center
391,voting info: CO postcards,1073,voting_info:_CO_postcards
392,voting info: CT revert to phase 1,3,voting_info:_CT_revert_to_phase_1
393,voting info: EIP-Ca,56,voting_info:_EIP-Ca
394,voting info: FL secrecy sleeves,138,voting_info:_FL_secrecy_sleeves
395,voting info: GA ballot surredering,159,voting_info:_GA_ballot_surredering
396,voting info: MD voting deadline,9,voting_info:_MD_voting_deadline
397,voting info: MI robocalls,30294,voting_info:_MI_robocalls
398,voting info: misleading Voter Participation Center mailings,1,voting_info:_misleading_Voter_Participation_Center_mailings
399,voting info: MS return absentee ballots in person,3439,voting_info:_MS_return_absentee_ballots_in_person
400,voting info: Multiple States Vote Tomorrow,1,voting_info:_Multiple_States_Vote_Tomorrow
401,voting info: naked ballots,19,voting_info:_naked_ballots
402,voting info: NC same day registration,8,voting_info:_NC_same_day_registration
403,voting info: NC wrong ballot,27314,voting_info:_NC_wrong_ballot
404,voting info: NM shut down polling places,2,voting_info:_NM_shut_down_polling_places
405,voting info: NY voting process,195,voting_info:_NY_voting_process
406,voting info: OK fake text messages,23,voting_info:_OK_fake_text_messages
407,voting info: PA false change in polling place,321,voting_info:_PA_false_change_in_polling_place
408,voting info: poll worker ballot marks,5092,voting_info:_poll_worker_ballot_marks
409,voting info: post-election voting,533,voting_info:_post-election_voting
410,voting info: PSA for wrong state,7,voting_info:_PSA_for_wrong_state
411,voting info: Too Late to Send Mail Ballots,108024,voting_info:_Too_Late_to_Send_Mail_Ballots
412,voting info: trump not on ballot,9,voting_info:_trump_not_on_ballot
413,voting info: TX Party Registration,484,voting_info:_TX_Party_Registration
414,voting info: US constitution amendment,478,voting_info:_US_constitution_amendment
415,voting info: vote by mail for warrants robocalls,25116,voting_info:_vote_by_mail_for_warrants_robocalls
416,voting info: vote in person,1,voting_info:_vote_in_person
417,voting info: vote on the 4th,82,voting_info:_vote_on_the_4th
418,voting info: WA vote changed,1,voting_info:_WA_vote_changed
419,voting info: WI 7 days left,242,voting_info:_WI_7_days_left
420,Voting Twice: 58% Double Democrats,45371,Voting_Twice:_58%_Double_Democrats
421,Voting Twice: 5 Ballots,3396,Voting_Twice:_5_Ballots
422,Voting Twice: CA Video,17378,Voting_Twice:_CA_Video
423,Voting Twice: Gateway Pundit Election Officials,2071,Voting_Twice:_Gateway_Pundit_Election_Officials
424,Voting Twice: Hannity Virginia Voters,49851,Voting_Twice:_Hannity_Virginia_Voters
425,Voting Twice: Melania Votes,2517,Voting_Twice:_Melania_Votes
426,Voting Twice: Multi-State Doubles,1,Voting_Twice:_Multi-State_Doubles
427,Voting Twice: NH 2016 Double Vote,5038,Voting_Twice:_NH_2016_Double_Vote
428,Voting Twice: PA Duplicates,87889,Voting_Twice:_PA_Duplicates
429,Watermark: DHS Sting,131906,Watermark:_DHS_Sting
430,Watermark: WA Watermark,6,Watermark:_WA_Watermark
