,incident,count,incident_name
182,Other: Manufactured/Stolen Early Votes,4258,Other:_Manufactured_Stolen_Early_Votes
183,Other: Marion County Ballots,1,Other:_Marion_County_Ballots
184,Other: PA forced provisional ballots,170,Other:_PA_forced_provisional_ballots
185,Other: PA GOP Observers,3300,Other:_PA_GOP_Observers
186,Other: PA Teachers,244,Other:_PA_Teachers
187,Other: PragerU Video,2251,Other:_PragerU_Video
188,Other: provisional ballots,353,Other:_provisional_ballots
189,Other: provisional ballots not counted in red states,77,Other:_provisional_ballots_not_counted_in_red_states
190,Other: QAnon Claims,2528,Other:_QAnon_Claims
191,Other: QAnon Coup D'Etat,951,Other:_QAnon_Coup_D'Etat
192,Other: Stop The Steal Pushed,1633907,Other:_Stop_The_Steal_Pushed
193,Other: Texas Howley Video Claims,1,Other:_Texas_Howley_Video_Claims
194,Other: Trump Campaign Quote,100543,Other:_Trump_Campaign_Quote
195,Other: trump tweet censored,378429,Other:_trump_tweet_censored
196,Other: TX Disabled Residents,75739,Other:_TX_Disabled_Residents
197,Other: urban playbook,27182,Other:_urban_playbook
198,Other: Venezuela Methods,123576,Other:_Venezuela_Methods
199,Other: Voter Fraud Cases,5542,Other:_Voter_Fraud_Cases
200,Other: WA 2004 Election,18,Other:_WA_2004_Election
201,Other: WA Inslee Audit,184,Other:_WA_Inslee_Audit
202,Other: WA Mail-In Fraud,762,Other:_WA_Mail-In_Fraud
203,Other: WA Miscellaneous Fraud,3149,Other:_WA_Miscellaneous_Fraud
204,Other: WA Rejected Ballots,441,Other:_WA_Rejected_Ballots
205,Other: WA State Fraud ,3,Other:_WA_State_Fraud_
206,partisan vcr:  AZ hand recount required,3148,partisan_vcr:__AZ_hand_recount_required
207,partisan vcr:  Connecticut ignored ballots,1,partisan_vcr:__Connecticut_ignored_ballots
208,partisan vcr:  Democrats train officials,58,partisan_vcr:__Democrats_train_officials
209,partisan vcr:  Detroit provisional ballots,21081,partisan_vcr:__Detroit_provisional_ballots
210,partisan vcr:  Erie ballots thrown away,49127,partisan_vcr:__Erie_ballots_thrown_away
211,partisan vcr:  Georgia confidence,101649,partisan_vcr:__Georgia_confidence
212,partisan vcr:  Joke ballot ripping,6200,partisan_vcr:__Joke_ballot_ripping
213,partisan vcr:  Kristie Alley Facebook Retweet,1525,partisan_vcr:__Kristie_Alley_Facebook_Retweet
214,partisan vcr:  live tv fraud,28126,partisan_vcr:__live_tv_fraud
215,partisan vcr:  Michigan delays,996,partisan_vcr:__Michigan_delays
216,partisan vcr:  Michigan Republican applications,5224,partisan_vcr:__Michigan_Republican_applications
217,partisan vcr:  Nevada whistleblower,714685,partisan_vcr:__Nevada_whistleblower
218,partisan vcr:  Pennsylvania delays,45185,partisan_vcr:__Pennsylvania_delays
219,partisan vcr:  Pennsylvania inner envelopes,583,partisan_vcr:__Pennsylvania_inner_envelopes
